Nazwa|Cena|Miasto|Dzielnica|Pokoje|Pow. całkowita|Piętro|Liczba pięter|Liczba sypialni|Balkon|Rynek|Rodzaj umowy|Rok budowy|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Liczba poziomów mieszkania|Dostępne od|Typ budynku|Materiał budowlany|Ogrzewanie|Inwestycja|Stan nieruchomości|Typ kuchni|Liczba łazienek|łazienka razem z WC|Taras|Pow. ogródka|Forma własności|Stolarka okienna|Pow. tarasu|Pow. loggii|Pow. balkonu|Stan budynku|Wysokość wnętrza|Pow. łazienki|Pow. użytkowa|Dodatkowe koszty|Cena do negocjacji|Typ nieruchomości|Typ domu|Lokalizacja garażu|Pow. działki
Apartament w nowoczesnej inwestycji|1 785 870 zł|Gdańsk, |Oliwa| • 3 pokoje|75,33 m²|3/3|3|2|Tak|Pierwotny||2023|29.03.2024|11.04.2024|morizon-712060|142|26|1||Blok Mieszkalny|Konstrukcja mieszana|Co Miejskie||||||||||||||||||||||
Twoje nowe miejsce w centrum luksusu|1 536 833 zł|Gdańsk, |Oliwa| • 3 pokoje|72,39 m²|3/3|3|2|Tak|Pierwotny||2024|29.03.2024|29.03.2024|morizon-205451|147|26|1|31.01.2024|Blok Mieszkalny|Konstrukcja mieszana|Co Miejskie||||||||||||||||||||||
"Jasny apartament z narożnym balkonem | 14 piętro"|1 900 000 zł|Gdańsk, |Śródmieście, | • 3 pokoje|79,36 m²|14/17|17|1|Tak|Wtórny|Na wyłączność|2020|19.02.2024|19.04.2024|morizon-523801|598|26|1||Wieżowiec||Co Miejskie||||||||||||||||||||||
Elegancja i wygoda w sercu Gdańska|1 450 000 zł|Gdańsk, |Śródmieście, | • 3 pokoje|57 m²|3/5|5|||Wtórny|Na wyłączność|2023|12.02.2024|17.04.2024|morizon-185711|588|26|1|18.01.2024|Apartamentowiec||Co Miejskie||||||||||||||||||||||
Apartament z balkonem w prestiżowej części Oliwy|3 262 970 zł|Gdańsk, |Oliwa| • 5 pokoi|128,08 m²|2/3|3|4|Tak|Pierwotny||2024|29.03.2024|29.03.2024|morizon-763283|164|26|1|31.01.2024|Blok Mieszkalny|Konstrukcja mieszana|Co Miejskie||||||||||||||||||||||
Kamienica z pozwoleniem na rozbudowę|2 990 000 zł|Gdańsk, |Straganiarska| • 7 pokoi|166,50 m²|1/1|1||Tak|Wtórny||1920|26.01.2024|19.04.2024|morizon-748759|714|26|4|10.01.2024|Kamienica||Co Miejskie||||||||||||||||||||||
Mieszkanie na nowym osiedlu Gdańsk Południe|900 000 zł|Gdańsk, |Orunia Górna, | • 3 pokoje|64,69 m²|4/4|4|2|Tak|Wtórny|Na wyłączność|2022|08.03.2024|09.04.2024|morizon-764559|418|26|1|07.03.2024|Blok Mieszkalny||Co Miejskie||||||||||||||||||||||
"2 pokoje \""DWIE MOTŁAWY\"""|899 000 zł|Gdańsk, |Śródmieście, | • 2 pokoje|36,36 m²|3/6|6||Tak|Wtórny||2020|18.04.2023|14.04.2024|morizon-250658|1 705|26|1||Blok Mieszkalny||Co Własne||||||||||||||||||||||
"Wyspa Spichrzów | Mieszkanie idealne pod najmy"|1 210 000 zł|Gdańsk, |Śródmieście, | • 3 pokoje|63,50 m²|5/6|6|2|Tak|Wtórny|Na wyłączność|2017|23.01.2024|19.04.2024|morizon-803156310|775|26|1||Apartamentowiec||Co Miejskie||||||||||||||||||||||
Komfortowe mieszkanie w sercu Oliwy|1 385 024 zł|Gdańsk, |Oliwa, | • 2 pokoje|54,73 m²|1/3|3|1|Tak|Pierwotny||2022|31.05.2023|13.04.2024|morizon-353199|850|26|1||Apartamentowiec||Co Miejskie||||||||||||||||54,67 m²||||||
Luksusowe mieszkanie/3 pokoje/Zajezdnia Wrzeszcz|1 399 000 zł|Gdańsk, |Wrzeszcz Dolny, | • 3 pokoje|61,21 m²|1/4|4|2|Tak|Wtórny|Na wyłączność|2021|22.04.2024|22.04.2024|morizon-467068|1|25|||||||||||||||||||||||||||
