Nazwa|Cena|Miasto|Dzielnica|Stan nieruchomości|Pow. całkowita|Piętro|Liczba pięter|Typ kuchni|łazienka razem z WC|Stolarka okienna|Depozyt za wynajem|Rynek|Dostępne od|Forma własności|Rodzaj umowy|Typ budynku|Materiał budowlany|Ogrzewanie|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Balkon|Rok budowy|Liczba poziomów mieszkania|Liczba łazienek|Stan budynku|Pow. łazienki|Taras|Pow. ogródka|Liczba sypialni|Wysokość wnętrza|Pow. balkonu|Cena do negocjacji|Pow. tarasu|Pow. użytkowa|Dodatkowe koszty|Pow. loggii
Bez prowizji! Mieszkanie 2 pokoje, Gdańsk-Wrzeszcz|4 061 zł|Gdańsk, |Jana Kilińskiego||48,76 m²|3/5|5|ODDZIELNA||||Wtórny||||APARTAMENTOWIEC|PUSTAK|C.O. Z SIECI MIEJSKIEJ|12.02.2024|08.04.2024|morizon-62/14488/OMW|165|0|Tak|2017||1||||||||||||
ELEGANCKI APARTAMENT, 3 SYPIALNIE, BLISKO MORZA|11 000 zł|Gdańsk M., |Gdańsk, |Wysoki standard|90 m²||||||11000|Wtórny|||||||06.03.2024|10.04.2024|morizon-BHN-MW-4104|155|0||2023||2|||Tak||3|||||||
2-pokojowe mieszkanie 5min od Forum Gdańsk|2 200 zł|Gdańsk, |Siedlce, ||47,40 m²|1/3|3|ODDZIELNA||||Wtórny|28.03.2024|WŁASNOŚĆ||NISKI BLOK||C.O. Z SIECI MIEJSKIEJ|28.03.2024|09.04.2024|morizon-67/9733/OMW|169|0|Tak|||1||||||||||||
Gotowe do wprowadzenia Gdańsk Łostowice|2 800 zł|Gdańsk, |Łostowice, ||61 m²|2/2|2|||||Wtórny|28.03.2024|||Blok Mieszkalny|Pustak|Co Miejskie|01.03.2024|29.03.2024|morizon-289092|352|0|Tak||||||Tak||1|||||||
"Zostań pierwszym najemcą | nowe 2 pokoje Jasień"|2 800 zł|Gdańsk, |Jasień, ||43 m²|5/6|6|||||Wtórny|06.02.2024||Na wyłączność|Blok Mieszkalny|Konstrukcja mieszana|Co Miejskie|06.02.2024|02.04.2024|morizon-WH530737|221|0|Tak|2023|||||||1|||||42,78 m²||
Apartament 2 pokojowy Gdańsk Oliwa|3 000 zł|Gdańsk, |Oliwa, ||44,92 m²|1/2|2|||||Wtórny|04.04.2024||Na wyłączność|Dom Wielorodzinny||Co Własne|13.02.2024|12.04.2024|morizon-DH637740|199|0|Tak||1||||||1|||||||
Dom na wynajem w pięknej okolicy - Oliwa|3 500 zł|Gdańsk, |Oliwa, |WYSOKI STANDARD|60 m²|||ODDZIELNA||||Wtórny|07.02.2024|WŁASNOŚĆ|Na wyłączność|||C.O. GAZOWE|07.02.2024|10.04.2024|morizon-48554/2089/OMW|179|0||||1||||||||||||
Nowe, trzy pokojowe gotowe do wprowadzenia|4 100 zł|Gdańsk, |Letnica, ||70 m²|4/5|5|||||Wtórny|||Na wyłączność|Blok Mieszkalny|YTong|Co Miejskie|20.02.2024|09.04.2024|morizon-151144307|73|0|Tak|2023|||||||2|||||||
Gdańsk Oliwia- 2 sypialnie, balkon, klimatyzacja|4 700 zł|Gdańsk, |Oliwa, ||85 m²|2/3|3|||||Wtórny|16.02.2024|||Blok Mieszkalny||Co Miejskie|16.02.2024|06.04.2024|morizon-DH430022|171|0|Tak||2||||||2|||||||
Szafarnia , słoneczne przestronne 3 pokoje,|4 900 zł|Gdańsk, |Śródmieście, ||73,60 m²|5/6|6|Półotwarta|Nie|||Wtórny||Własność||||C.o. miejskie|10.04.2024|09.04.2024|morizon-ZA016492|26|0|Nie|2009||1|Wysoki standard||Nie|||||||||
2 pokojowe mieszkanie dla pracowników na Przymorzu|2 300 zł|Gdańsk, |Przymorze, ||65 m²|1/2|2|Półotwarta||||Wtórny||Własność||||C.o. miejskie|09.04.2024|09.04.2024|morizon-WV032540|44|0|Nie|||1|Bardzo dobry||Nie|||||||||
Ciche mieszkanie blisko Śródmieścia|2 400 zł|Gdańsk, |Długa Grobla||41 m²|3/5|5|||||Wtórny|||Na wyłączność||||16.02.2024|20.03.2024|morizon-105855|302|0||||||||||||||||
Gdańsk Zakoniczyn 2 pokojowe z miejscem postojowym|2 450 zł|Gdańsk, |Jaworzniaków||51,42 m²|3/3|3|||||Wtórny|01.04.2024||Na wyłączność||||28.02.2024|09.04.2024|morizon-Aa491746|130|0|Tak|2014|1|||||||||||||
Mieszkanie - Gdańsk|2 500 zł|Gdańsk, |Morelowa||44,41 m²||4|Brak||||Wtórny||(Nieznany)|Na wyłączność|||C.o. miejskie|26.02.2024|05.04.2024|morizon-H006205|387|0|Nie|2022||1|Bardzo dobry||Tak||||5 m²|||||
Nowe Wykończone mieszkanie niedaleko fashion house|2 600 zł|Gdańsk M., |Gdańsk, |Do wprowadzenia|32 m²|4/4|4|||PCV|5000|Pierwotny||Jeden właściciel||Blok||C.O. miejskie|29.03.2024|29.03.2024|morizon-QRC-MW-7245|75|0||2023|||||||||||||360|
Opis nieruchomości|2 800 zł|Gdańsk M., |Gdańsk, |Bardzo dobry|41 m²|3/3|3|Aneks kuchenny - połączony z salonem|Tak|PCV|3000|Wtórny||Jeden właściciel|Na wyłączność|Blok|||14.03.2024|27.03.2024|morizon-WST-MW-600-2|131|0|Tak||||||||1|255 cm|||||500|
2 wyposażone pokoje, słoneczne mieszkanie- tramwaj pod blokiem|2 800 zł|Gdańsk, |Siedlce||50 m²|8/8|8|Aneks|Tak|||Wtórny|30.12.2023|Własność|Na wyłączność|Apartamentowiec|Cegła|Miejskie|16.12.2023|12.03.2024|morizon-23/PB/2|198|0|Nie|2021|1|1|Bardzo dobry|4 m²|Tak|||300 cm|||5 m²|49,12 m²||
Przytulne mieszkanie - Gdańsk Przymorze|3 000 zł|Gdańsk, |Przymorze, ||51 m²|1/1|1|||||Wtórny|27.02.2024|||Wolnostojący||Co Miejskie|27.02.2024|28.02.2024|morizon-DH291246|196|0||||||||||||||||
Mieszkanie 2 poka wynajem Gdańsk Aniołki ul. Focha|3 500 zł|Gdańsk, |Aniołki, ||50,90 m²|2/4|4|||||Wtórny||||Blok Mieszkalny||Co Miejskie|05.04.2024|05.04.2024|morizon-DJ360406|34|0|Tak||1|||||||||||||
Super skomunikowane i wszelkie udogodnienia obok|2 250 zł|Gdańsk, |Niedźwiednik, ||50,30 m²||4|||||Wtórny|||||||10.04.2024|10.04.2024|morizon-BN557355|47|0|||||||||1|||||||
Przytulne mieszkanie z balkonem na Zaspie|2 300 zł|Gdańsk|||54 m²|5/10|10|||||Wtórny||||Blok Mieszkalny||Co Miejskie|23.01.2024|04.04.2024|morizon-TY900595|226|0|Tak|1989||||||||||||||
Komfortowy, luksusowy apartament od zaraz|2 500 zł|Gdańsk, |Łostowice, ||35 m²||4|||||Wtórny|||||||13.02.2024|14.03.2024|morizon-OF502342760|205|0||2022|1||||||1|||||||
Piękne 2 pokojowe mieszkanie w centrum Gdańska|2 600 zł|Gdańsk, |Stare Przedmieście, |WYSOKI STANDARD|42,19 m²|5/5|5|ANEKS KUCHENNY||||Wtórny||WŁASNOŚĆ|Na wyłączność|NISKI BLOK|WIELKA PŁYTA|C.O. Z SIECI MIEJSKIEJ|08.01.2024|08.04.2024|morizon-48312/2089/OMW|265|0|Tak|1960||1||||||||||||
Mieszkanie do wynajęcia we Wrzeszczu|2 600 zł|Gdańsk, |Wrzeszcz Dolny, |Dobry|47,50 m²|3/3|3||Tak|||Wtórny|01.04.2024|||Kamienica|Cegła||02.04.2024|02.04.2024|morizon-gratka-28009593|527|0||1950||||||||||||||
3 pokoje po remoncie|3 500 zł|Gdańsk, |Siedlce, ||50 m²||4|||||Wtórny|||||||12.04.2024|12.04.2024|morizon-984387|1|0||1965||||||||||||||
Całe piętro budynku pod kwatery pracownicze|7 000 zł|Gdańsk, |Kokoszki, ||90 m²|1/2|2|||||Wtórny|25.03.2024||Na wyłączność|Piętro Domu||Gazowe|25.03.2024|07.04.2024|morizon-CP27664447|22|0|Tak||1||||||6|||||||
2 pokoje Porębskiego z balkonem|2 300 zł|Gdańsk, |Zakoniczyn, ||50 m²|1/4|4|||||Wtórny|||Na wyłączność|Blok Mieszkalny|Pustak|Co Miejskie|02.02.2024|12.04.2024|morizon-PH451178|261|0|Tak|2008||||||||||||||
Mieszkanie 2-pok. + miejsce parkingowe w cenie|2 390 zł|Gdańsk, |Morenowe Wzgórze||46 m²|2/3|3|ANEKS KUCHENNY||||Wtórny|01.03.2024|WŁASNOŚĆ||NISKI BLOK||C.O. Z SIECI MIEJSKIEJ|23.02.2024|23.02.2024|morizon-BON45022|197|0|Tak|2006||||||||||||||
Posiadamy do wynajęcia zupełnie nowe mieszkanie o|2 400 zł|Gdańsk, |Jasień, ||44 m²|3/4|4|Brak||||Wtórny||Własność|Na wyłączność|||C.o. miejskie|03.04.2024|04.04.2024|morizon-JJ02339|102|0|Tak|2019||1|Wysoki standard||Nie|||||||||
Na wynajem dwupokojowe mieszkanie na Gardeni|2 400 zł|Gdańsk, |Jasień, ||43 m²|1/4|4|||||Wtórny|||||||11.03.2024|26.03.2024|morizon-401529|201|0||2015|||||Tak||1|||||||
Mieszkanie 2 pok. Gdańsk Jasień|2 500 zł|Gdańsk, |Jasień, ||44 m²|1/2|2|||||Wtórny|||||||05.03.2024|07.03.2024|morizon-182993|143|0|Tak|||||||||||||||
Gdańsk Nowy Port - urokliwe mieszkanie na wynajem|2 500 zł|Gdańsk, |Nowy Port, |Bardzo dobry|54 m²|2/3|3|Osobna|Nie|||Wtórny|01.02.2024|Własność|Na wyłączność|Kamienica|Cegła|Gazowe|01.02.2024|02.04.2024|morizon-HG009955|289|0|Nie|1900|1|1|Dobry||Nie|||300 cm||Tak||||
2 pokoje/ Oliwa/ wynajem/ od zaraz|2 700 zł|Gdańsk, |Oliwa|BARDZO WYSOKI STANDARD|32 m²|2/4|4|ANEKS KUCHENNY||||Wtórny|01.03.2024|WŁASNOŚĆ||||C.O. Z SIECI MIEJSKIEJ|18.03.2024|05.04.2024|morizon-BON45231|158|0||||||||||||||||
Przestronne Mieszkanie na Gdańskiej Starówce|3 100 zł|Gdańsk, |Św. Ducha||46 m²|2/3|3|||||Wtórny|||Na wyłączność||||29.03.2024|22.03.2024|morizon-120433568|77|0||||||||||||||||
Wyposażony apartament w Central Parku! Morena|3 200 zł|Gdańsk, |Morena, ||40,05 m²|13/17|17|||||Wtórny|||Na wyłączność|Wieżowiec||Co Miejskie|19.03.2024|24.03.2024|morizon-BU648336|151|0|Tak|2022||||||||||||||
Nowoczesne Mieszkanie Blisko Morza i Parku|4 000 zł|Gdańsk, |Przymorze, ||58 m²||3|||||Wtórny|||Na wyłączność||||29.03.2024|03.04.2024|morizon-932363452|71|0||||||||||||||||
"Przestronne 3 pok. mieszkanie | 12 piętro| Letnica"|4 500 zł|Gdańsk M., |Gdańsk, |Do wprowadzenia|65 m²|||||||Wtórny||||Apartamentowiec|||19.03.2024|19.03.2024|morizon-BHN-MW-4144-1|126|0|||||||||2||||||800|
Gdańsk Wrzeszcz, przestronnie i dobrym stylu|4 800 zł|Gdańsk, |Wrzeszcz Górny||98 m²|3/4|4|||||Wtórny|||||||25.03.2024|28.03.2024|morizon-985620|124|0|Tak|1907|||||||2|||||||
Stylowe 2 pokojowe 200m od plaży Jelitkowo|4 900 zł|Gdańsk, |Jelitkowo, ||62,44 m²||3|||||Wtórny|01.03.2024|||Apartamentowiec|Inne|Co Miejskie|17.02.2024|29.03.2024|morizon-WH684077|144|0|Tak|2013|1||||||1|||||||
3 pokoje w sercu Gdańska|5 000 zł|Gdańsk, |Śródmieście, ||65 m²|1/6|6|||||Wtórny||||Apartamentowiec||Co Miejskie|06.03.2024|14.03.2024|morizon-DH404052|130|0|Tak|||||||||||||||
Wygoda i relaks w każdym calu|5 300 zł|Gdańsk, |Stare Miasto, ||49 m²|3/6|6|||||Wtórny|20.02.2024|||Apartamentowiec|||20.02.2024|05.04.2024|morizon-899890|50|0||2020|||||||1|||||||
Dwupokojowe mieszkanie w centrum Wrzeszcza|1 900 zł|Gdańsk, |Wrzeszcz||37,98 m²|3/4|4|||||Wtórny||||Blok Mieszkalny|Wielka płyta|Co Miejskie|10.04.2024|10.04.2024|morizon-DJ598545|43|0|Tak||1|||||||||||||
Kawalerka w Sródmieściu Gdańska|1 999 zł|Gdańsk, |Łagiewniki|Wysoki standard|40 m²||4||Tak|||Wtórny|06.04.2024|||Blok|||21.03.2024|02.04.2024|morizon-gratka-33888497|144|0||||||||||||||||
Wspaniała Nieruchomość na Wynajem Z Ogródkiem|2 100 zł|Gdańsk, |Jasień, ||37 m²||4|||||Wtórny|||||||26.02.2024|07.04.2024|morizon-294067|162|0||2018||||||||||||||
2 pokoje, widok na wodę! Cicha okolica|2 350 zł|Gdańsk, |Maćkowy, ||42 m²|1/3|3|||||Wtórny||||Blok Mieszkalny||Co Miejskie|03.02.2024|23.02.2024|morizon-PH793154|234|0|Tak|2023||||||||||||||
Opis nieruchomości|2 500 zł|Gdańsk M., |Gdańsk, |Do wprowadzenia|35 m²|1/3|3|Aneks kuchenny - połączony z salonem||PCV||Wtórny||||Blok||C.O. miejskie|27.03.2024|27.03.2024|morizon-WST-MW-605-2|136|0|Tak|2019|||||||1|250 cm||||||
Na lokal/mieszkanie w Kamienicy Gdańsk Oliwa|2 500 zł|Gdańsk, |Poczty Gdańskiej||51 m²|1/3|3|||||Wtórny|01.04.2024|WŁASNOŚĆ||KAMIENICA||C.O. ELEKTRYCZNE|13.02.2024|20.03.2024|morizon-52/4070/OMW|173|0||1895||1||||||||||||
os.Pastelowe, balkon, komórka, miejsce postojowe|2 600 zł|Gdańsk M., |Gdańsk, ||37 m²|2/4|4|Aneks kuchenny - połączony z salonem|Tak||3500|Wtórny||||Apartamentowiec|||12.02.2024|12.02.2024|morizon-DFI-MW-1415|469|0||||1|||||1||||||500|
Gdańsk Stare Miasto - urokliwe mieszkanie na wynajem|2 700 zł|Gdańsk, |Śródmieście, |Bardzo dobry|49 m²|2/3|3|Aneks|Tak|||Wtórny|15.02.2024|Własność||Kamienica|Cegła|Miejskie|15.02.2024|03.04.2024|morizon-HG0085534|339|0|Nie|1950|1|1|Dobry||Nie|||300 cm||||||
Mieszkanie do wynajęcia od zaraz! Gdańsk Morena|3 000 zł|Gdańsk, |Piecki-Migowo, |Dobry|64 m²|2/4|4|Osobna|Nie|||Wtórny|08.04.2024|||Blok|||05.04.2024|07.04.2024|morizon-gratka-34188373|44|0||||||||||||||||
Mieszkanie 3 pok. dla studentów|3 300 zł|Gdańsk, |Wrzeszcz, ||59,46 m²|2/4|4|||||Wtórny||||Blok Mieszkalny||Co Miejskie|08.03.2024|08.03.2024|morizon-DH261015|244|0|Nie|1970|||||||3|||||||
Apartament w Śródmieściu z widokiem na Motławę|3 300 zł|Gdańsk, |Śródmieście, ||60,38 m²|1/4|4|||||Wtórny|01.03.2024||Na wyłączność|Blok Mieszkalny||Co Miejskie|13.02.2024|06.03.2024|morizon-DH968442|197|0||2011||||||||||||||
Nowoczesne mieszkanie z ogrodem w Gdańsku|3 500 zł|Gdańsk, |Matemblewo, |Wysoki standard|51,36 m²||2|Aneks kuchenny||||Wtórny||Własność|Na wyłączność|Dom wielorodzinny|Mieszana|Ogrzewanie miejskie|14.03.2024|24.03.2024|morizon-SUHO890|132|0||2023||||||||265 cm||||||
atrakcyjne mieszkanie, 20 minut spacerkiem od plaży|4 500 zł|Gdańsk||Idealny|54 m²|15/16|16|Aneks|Tak|PCV||Wtórny||Własność||Apartamentowiec|Suporeks|Miejskie|05.04.2024|05.04.2024|morizon-2698|34|0|Tak|2023|||||||2|277 cm||||||6 m²
Mieszkanie 4 pokoje 83 M2 na wynajem okazja|4 500 zł|Gdańsk M., |Gdańsk, |Bardzo dobry|83 m²|||||||Wtórny|||Na wyłączność||||21.03.2024|19.03.2024|morizon-BHN-MW-4140-8|169|0|Tak|2008|||||||||||||1000|
Najwyższy standard w centrum Gdańska|4 900 zł|Gdańsk, |Śródmieście, ||77,01 m²|4/6|6|||||Wtórny||||Apartamentowiec||Co Miejskie|14.02.2024|28.03.2024|morizon-PH130651|170|0|Tak|2017||||||||||||||
Duże dwupokojowe mieszkanie w spokojnej okolicy|2 600 zł|Gdańsk, |Morena|WYSOKI STANDARD|60,65 m²|1/3|3|ANEKS KUCHENNY||||Wtórny|13.02.2024|WŁASNOŚĆ|Na wyłączność|BLOK||C.O. Z SIECI MIEJSKIEJ|13.02.2024|06.04.2024|morizon-48558/2089/OMW|234|0|Tak|2010||1||||||255 cm||||||
"2 pokoje+hala garażowa | Piecki Migowo | Morenova"|3 000 zł|Gdańsk, |Morena Piecki-Migowo, ||40,09 m²|1/10|10|||||Wtórny|||||||21.03.2024|09.04.2024|morizon-HEX888450|113|0|Tak|2019|||||||1|||||||
2 pokoje z balkonem, Gdańsk Śródmieście|3 900 zł|Gdańsk, |Śródmieście, ||55 m²|3/4|4|||||Wtórny|||Na wyłączność|Apartamentowiec|Cegła|Co Miejskie|17.01.2024|29.03.2024|morizon-WH307349|162|0|Tak|2020|1|||||||||||||
Dwupokojowe mieszkanie Gdańsk Osowa ul.Kielnieńska|2 000 zł|Gdańsk, |Osowa, ||33 m²|1/3|3|||||Wtórny|10.04.2024||Na wyłączność|Blok Mieszkalny||Co Własne|18.12.2023|10.04.2024|morizon-DH753024|356|0|Tak||||||||1|||||||
Stylowa kawalerka, balkon, garaż - Nowa Letnica|2 300 zł|Gdańsk, |Letnica, |BARDZO WYSOKI STANDARD|26,84 m²|||ANEKS KUCHENNY||||Wtórny|01.04.2024||Na wyłączność|WIEŻOWIEC||C.O. Z SIECI MIEJSKIEJ|24.11.2023|02.04.2024|morizon-48128/2089/OMW|294|0|Tak|2022||1||||||||||||
Nowe mieszkanie 2 pokojowe dostępne od zaraz|2 500 zł|Gdańsk, |Chełm, ||35 m²|1/4|4|||||Wtórny|||||||02.04.2024|12.04.2024|morizon-OF594099|80|0|Tak|2023|||||||1|||||||
Wyjątkowe nowoczesne mieszkanie z pięknym widokiem|2 900 zł|Gdańsk, |Morena, |WYSOKI STANDARD|41 m²|||||||Wtórny|01.04.2024|WŁASNOŚĆ|Na wyłączność|WIEŻOWIEC||C.O. Z SIECI MIEJSKIEJ|08.02.2024|26.03.2024|morizon-48556/2089/OMW|204|0|Tak|2018||1||||||280 cm||||||
Bez prowizji! Mieszkanie 2 pokoje, Gdańsk-Wrzeszcz|3 481 zł|Gdańsk, |Jana Kilińskiego||43,09 m²|4/5|5|ANEKS KUCHENNY||||Wtórny||||APARTAMENTOWIEC|PUSTAK|C.O. Z SIECI MIEJSKIEJ|27.10.2023|08.04.2024|morizon-51/14488/OMW|190|0||2017||1||||||||||||
Na wynajem 3 pokoje z dużyyyym tarasem- OSOWA|3 500 zł|Gdańsk, |Osowa, ||75 m²|3/3|3|||||Wtórny|01.11.2023||Na wyłączność|Blok Mieszkalny||Co Miejskie|27.10.2023|11.04.2024|morizon-TY423049|195|0|Tak|2000|||||Tak|||||||||
Wyjątkowe przestronne mieszkanie na Starym Mieście|4 500 zł|Gdańsk, |Stare Miasto, ||84,60 m²|1/3|3|||||Wtórny|||Na wyłączność|Apartamentowiec||Co Miejskie|08.08.2023|03.04.2024|morizon-PH379551|393|0||2010||||||||||||||
Nowe 3-pok. mieszkanie o wysokim standardzie-OLIWA|4 900 zł|Gdańsk M., |Gdańsk, |Wysoki standard|58 m²|3/3|3|Aneks kuchenny - połączony z salonem||DREWNIANE NOWY TYP||Wtórny||||Blok|||13.03.2024|13.03.2024|morizon-BHN-MW-4130-2|144|0|Tak|2023|||||||2|||||||
Bez prowizji! Mieszkanie 3 pokoje, Gdańsk-Wrzeszcz|5 434 zł|Gdańsk, |Jana Kilińskiego||72,65 m²|2/5|5|ODDZIELNA||||Wtórny||||APARTAMENTOWIEC|PUSTAK|C.O. Z SIECI MIEJSKIEJ|05.09.2023|08.04.2024|morizon-42/14488/OMW|256|0|Tak|2017||1||||||||||||
Gdańsk Jelitkowo 4 pokoje|5 900 zł|Gdańsk, |Jelitkowo, ||120 m²|1/2|2|||||Wtórny|31.03.2024|||Apartamentowiec||Elektryczne|10.01.2024|12.04.2024|morizon-DH207061|133|0|Tak|2008|||||||3|||||||
Luksusowy apartament z widokiem na Motławę|7 499 zł|Gdańsk, |Śródmieście, ||84 m²|1/5|5|||||Wtórny|||Na wyłączność|Apartamentowiec||Co Miejskie|17.01.2024|12.03.2024|morizon-DH988322|94|0|Nie|2018|||||||2|||||42 m²||
Słoneczna kawalerka nad morzem|1 900 zł|Gdańsk, |Brzeźno, |DOBRY|26,61 m²|2/4|4|BEZ OKNA||||Wtórny|06.03.2024|WŁASNOŚĆ||NISKI BLOK|WIELKA PŁYTA|C.O. Z SIECI MIEJSKIEJ|06.03.2024|30.03.2024|morizon-4724/3685/OMW|273|0||1960||1||||||265 cm||||||
2 pokoje na Jasieńiu|2 200 zł|Gdańsk, |Jasień, ||36 m²|1/6|6|||||Wtórny|16.01.2024|||Blok Mieszkalny||Co Miejskie|17.01.2024|20.03.2024|morizon-DH685480|170|0|Tak|||||||||||||||
Nowoczesne Mieszkanie na Podwalu Staromiejskim|2 400 zł|Gdańsk, |Podwale Staromiejskie||32 m²|3/3|3|||||Wtórny|||Na wyłączność||||29.03.2024|22.03.2024|morizon-406374281|85|0||||||||||||||||
UROCZA KAWALERKA W SERCU GDAŃSKIEJ STARÓWKI|2 400 zł|Gdańsk, |Stare Miasto, ||38 m²|2/4|4|||||Wtórny|||Na wyłączność|Kamienica||Co Miejskie|11.07.2023|21.02.2024|morizon-TY823512|426|0||1960||||||||||||||
Zadbane, nowoczesne mieszkanie w Piecki Migowo|2 450 zł|Gdańsk, |Piecki-Migowo, ||36,57 m²|6/16|16|||||Wtórny|08.01.2024||Na wyłączność|Apartamentowiec|Konstrukcja żelbetowa|Co Miejskie|08.01.2024|10.04.2024|morizon-TC287986|191|0|Tak|2019|1||||||1|||||||
Wynajmę 2 pokoje Gdańsk Zaspa|2 500 zł|Gdańsk, |Zaspa, ||31,80 m²|4/10|10|||||Wtórny|01.05.2024|||Wieżowiec|Wielka płyta|Co Miejskie|12.04.2024|12.04.2024|morizon-PAN681556|1|0|Nie|1970|||||||1|||||||
Idealne dla studentów i pracowników GUMed i UCK|2 500 zł|Gdańsk, |Aniołki||43 m²|1/2|2|||||Wtórny|||||||25.03.2024|02.04.2024|morizon-510809|166|0||||||||||||||||
Mieszkanie do wynajęcia w samym centrum Wrzeszcza|2 750 zł|Gdańsk, |Ludwika Waryńskiego||51 m²|||ODDZIELNA||||Wtórny|||Na wyłączność|KAMIENICA||C.O. Z SIECI MIEJSKIEJ|26.03.2024|26.03.2024|morizon-453/9862/OMW|108|0||||||||||||||||
2-POKOJOWE, SUPER PUNKT GÓRNEGO WRZESZCZA-STRZYŻA|2 900 zł|Gdańsk, |Wrzeszcz, ||42,10 m²|1/2|2|Osobna||||Wtórny||Własność||||Gazowe|19.03.2024|18.03.2024|morizon-IF04220|340|0|Nie|1943||1|Bardzo dobry||Nie|||||||||
2 pokoje na wynajem, Gdańsk Oliwa|3 100 zł|Gdańsk, |Oliwa, ||50 m²|2/2|2|||||Wtórny|31.12.2023|||Kamienica||Gazowe|09.11.2023|26.03.2024|morizon-DH165802|240|0|Nie|1920||||||||||||||
NOVA OLIVA - eleganckie, przestronne 3 pokoje|3 800 zł|Gdańsk, |Oliwa, |WYSOKI STANDARD|70 m²|2/3|3|ANEKS KUCHENNY||||Wtórny||WŁASNOŚĆ|Na wyłączność|APARTAMENTOWIEC||C.O. Z SIECI MIEJSKIEJ|28.07.2023|28.03.2024|morizon-50/4070/OMW|931|0|Tak|2007||1||||||||||||
Bez prowizji! Mieszkanie 3 pokoje, Gdańsk-Wrzeszcz|5 506 zł|Gdańsk, |Jana Kilińskiego||72,85 m²|1/5|5|ODDZIELNA||||Wtórny||||APARTAMENTOWIEC|PUSTAK|C.O. Z SIECI MIEJSKIEJ|05.09.2023|08.04.2024|morizon-45/14488/OMW|217|0|Tak|2017||||||||260 cm||||||
Opis nieruchomości|2 000 zł|Gdańsk, |Żabianka, ||22,50 m²|3/4|4|||||Wtórny||||Blok Mieszkalny|Wielka płyta|Co Miejskie|09.04.2024|09.04.2024|morizon-562414|34|0||||||||||||||||
"Świeżo po Remoncie | Wprowadzka od Zaraz"|2 200 zł|Gdańsk, |Łostowice, ||36,60 m²|1/4|4|||||Wtórny|||Na wyłączność|Blok Mieszkalny||Co Miejskie|07.02.2024|20.03.2024|morizon-HEX135376|247|0|Tak|2023|||||||1|||||||
Mieszaknie 2 pokojowe na kameralnym osiedlu|2 500 zł|Gdańsk, |Ujeścisko||49 m²||2|ODDZIELNA||||Wtórny|12.04.2024|||APARTAMENTOWIEC||C.O. Z SIECI MIEJSKIEJ|12.04.2024|12.04.2024|morizon-456/9862/OMW|1|0||||1||||||||||||
Atrakcyjne mieszkanie do wynajęcia|2 600 zł|Gdańsk, |Piecki-Migowo, |Bardzo dobry|53 m²|1/4|4|Aneks|Tak|||Wtórny||Własność||Apartamentowiec|Pustak||27.01.2024|27.01.2024|morizon-41|268|0|Tak||1|1|Bardzo dobry||Nie|||||||||
"Po Remoncie | Świetna Cicha Lokalizacja"|2 900 zł|Gdańsk, |Wrzeszcz, ||65 m²||1|||||Wtórny||||Wolnostojący||Gazowe|20.03.2024|20.03.2024|morizon-HEX770231|262|0||1932|||||||2|||||||
GDAŃSK ŚRÓDMIEŚCIE, KOMFORTOWE, NOWE|2 900 zł|Gdańsk, |Śródmieście, ||30 m²|5/5|5|||||Wtórny|15.02.2024|||Apartamentowiec||Co Miejskie|15.02.2024|16.03.2024|morizon-556486|173|0|Tak|2021||||||||||||||
Apartament na starówce, 4 pokoje, 2 łazienki|5 500 zł|Gdańsk, |Śródmieście, ||84,07 m²|4/5|5|||||Wtórny|21.02.2024||||||28.02.2024|26.03.2024|morizon-TC924280|128|0|Tak|2019|||||||3|||||||
Do wynajęcia - duża kawalerka 32m2 Gdańsk Siedlce|2 100 zł|Gdańsk, |Siedlce, ||32,10 m²|2/11|11|||||Wtórny|25.03.2024|||Blok Mieszkalny||Co Miejskie|04.04.2024|09.04.2024|morizon-721456|67|0||1981|1|||||||||||||
Nowoczesne mieszkanie na Podwalu Staromiejskim|2 500 zł|Gdańsk, |Podwale Staromiejskie||40 m²|2/4|4|||||Wtórny|||Na wyłączność||||29.03.2024|22.03.2024|morizon-982843857|72|0||||||||||||||||
Gdańsk Centrum, w pełni wyposażone mieszkanie|2 500 zł|Gdańsk, |Śródmieście, ||27 m²||5|||||Wtórny|02.09.2024|||Kamienica||Co Miejskie|05.09.2023|04.04.2024|morizon-DH883767|341|0|||||||||1|||||||
Mieszkanie/Domek parterowy z Kuchnia 2 Pokoje i Łazienka|2 600 zł|Gdańsk, |Błonia, ||30 m²|||Osobna|Tak|||Wtórny||||Dom wielorodzinny|Pustak||21.02.2024|31.03.2024|morizon-gratka-33430181|378|0||2023||||||||||||||
Gdańsk Kawalerka nowe budownictwo siłownia|2 690 zł|Gdańsk, |Przymorze, ||35 m²|4/5|5|||||Wtórny||||Blok Mieszkalny|Cegła|Co Miejskie|10.10.2023|27.12.2023|morizon-PH396746|236|0||2022||||||||||||||
Posiadamy do wynajęcia apartament o pow. 43,00 m.2|2 700 zł|Gdański, |Gdańsk, ||43 m²|2/7|7|Brak||||Wtórny||Własność||||C.o. miejskie|04.04.2024|04.04.2024|morizon-JJ02169|51|0|Nie|2016||1|Wysoki standard||Nie|||||||||
