Nazwa|Cena|Miasto|Dzielnica|Inwestycja|Pow. całkowita|Rynek|Rok budowy|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Piętro|Liczba pięter|Liczba poziomów mieszkania|Liczba sypialni|Balkon|Taras|Rodzaj umowy|Typ budynku|Materiał budowlany|Ogrzewanie|Pow. użytkowa|Stan nieruchomości|Wysokość wnętrza|Typ kuchni|Liczba łazienek|łazienka razem z WC|Pow. loggii|Forma własności|Stan budynku|Pow. łazienki|Pow. balkonu|Dostępne od|Cena do negocjacji|Pow. tarasu|Pow. ogródka|Stolarka okienna|Typ domu|Dodatkowe koszty|Lokalizacja garażu|Kominek|Typ nieruchomości
"Luksusowa inwestycja | Alvarium | 94 m2"|1 515 996 zł|Gdynia, |Zwycięstwa||93,58 m²|Pierwotny|2023|18.04.2023|01.04.2024|morizon-508867836|447|25|8/16|16||3|Tak|||Apartamentowiec|YTong|Co Miejskie||||||||||||31.12.2024|||||||||
Mieszkanie - Gdynia Śródmieście|620 000 zł|Gdynia, |Śródmieście, ||46 m²|Wtórny|1930|11.02.2024|28.03.2024|morizon-FI020096|316|25|1/4|4|||Nie|Nie|Na wyłączność|||C.o. miejskie||||Osobna|1|||Własność|Do remontu||||||||||||
Gdynia ul 10 Lutego mieszkanie czteropokojowe|1 535 296 zł|Gdynia, |Śródmieście, ||103,04 m²|Wtórny|1937|05.03.2024|08.03.2024|morizon-KE06325|398|25|3/5|5|||Tak|Nie||||C.o. miejskie||||Półotwarta|1|Nie||Własność|Do zamieszkania||||||||||||
Piękny apartament w centrum Gdyni|3 438 750 zł|Gdynia, |Śródmieście, ||137,55 m²|Wtórny||04.04.2023|09.03.2024|morizon-MS0497|2 153|25|2/7|7|||Tak||Na wyłączność|Apartamentowiec||||||||||Własność|||||||||||||
Mieszkanie z ogródkiem w spokojnej lokalizacji|599 000 zł|Gdynia|||73,71 m²|Wtórny||13.02.2024|06.03.2024|morizon-250/11504/OMS|673|25||60|||||Na wyłączność|BLOK|WIELKA PŁYTA|C.O. Z SIECI MIEJSKIEJ||DO REMONTU||ODDZIELNA|1|||||||14.02.2024|||||||||
Mieszkanie - Gdynia Mały Kack, Wielkopolska 296|1 090 000 zł|Gdynia, |Mały Kack, ||71,46 m²|Wtórny|2020|18.02.2024|25.03.2024|morizon-1538313841|688|25|2/3|3|||Tak|||Apartamentowiec||Miejskie||Wysoki standard||Aneks||||Własność||||Od zaraz|Tak||||||||
Mieszkanie Gdynia Chwarzno-Wiczlino, osiedle Fort Forest|950 000 zł|Gdynia, |Chwarzno-Wiczlino, ||67,63 m²|Wtórny|2022|14.09.2023|24.01.2024|morizon-7896|936|25|1/3|3|||Tak|||Apartamentowiec|Cegła|Miejskie||||Aneks|2|Tak||Własność|Bardzo dobry||||||||||||
3 pokoje/świetna lokalizacja/ kredyt 2%|608 027 zł|Gdynia, |Dąbrowa, ||55,02 m²|Pierwotny|2025|18.10.2023|15.11.2023|morizon-216|1 235|25|2/5|5|||Tak|||Apartamentowiec||||||Aneks||Tak||Własność||||31.05.2024|||||||||
Opis nieruchomości|583 474 zł|Gdynia, |Cisowa, |ZBOŻOWA|47,31 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.40|117|21|||||||||||||||||||||||||||||||
Centrum, plaża i bulwar w Gdyni|1 024 600 zł|Gdynia, |Śródmieście||58,85 m²|Pierwotny|2023|07.02.2024|03.04.2024|morizon-231/9142/OMS|122|20|4/4|4|||Tak|||APARTAMENTOWIEC|MIESZANY|C.O. Z SIECI MIEJSKIEJ||DO WYKOŃCZENIA||ANEKS KUCHENNY|1|||WŁASNOŚĆ||||30.04.2024|||||||||
