Cena,Miasto,Dzielnica,Pokoje,Pow. całkowita,Rynek,Rok budowy,Piętro,Liczba pięter,Balkon,Typ oferty,Cena/m2
1299000.0,Gdynia ,Śródmieście, 3,87.04,Wtórny,1920,4.0,4.0,Nie,Najmu,14924.17
1950000.0,Gdynia ,Orłowo, 3,127.0,Wtórny,2004,2.0,2.0,Tak,Najmu,15354.33
479000.0,Gdynia ,Wielki Kack, 2,33.52,Wtórny,2022,3.0,3.0,Tak,Najmu,14289.98
530000.0,Gdynia ,Oksywie, 3,52.7,Wtórny,1980,2.0,10.0,Tak,Najmu,10056.93
549000.0,Gdynia ,Obłuże, 3,47.0,Wtórny,1975,10.0,10.0,Tak,Najmu,11680.85
590000.0,Gdynia ,Śródmieście, 3,46.0,Wtórny,1962,5.0,10.0,Tak,Najmu,12826.09
609000.0,Gdynia ,Redłowo, 2,43.5,Wtórny,1966,3.0,4.0,Nie,Najmu,14000.0
629000.0,Gdynia ,Dąbrowa, 3,67.5,Wtórny,1996,1.0,4.0,Tak,Najmu,9318.52
629000.0,Gdynia ,Chwarzno-Wiczlino, 2,53.4,Wtórny,2011,2.0,4.0,Tak,Najmu,11779.03
630000.0,Gdynia ,Obłuże, 3,63.4,Wtórny,1972,1.0,4.0,Tak,Najmu,9936.91
649000.0,Gdynia ,Pogórze, 3,63.0,Wtórny,1985,1,4.0,Tak,Najmu,10301.59
744000.0,Gdynia ,Pogórze, 3,76.3,Pierwotny,2024,1.0,3.0,Tak,Najmu,9750.98
759000.0,Gdynia ,Pogórze, 4,67.2,Wtórny,2020,4.0,8.0,Tak,Najmu,11294.64
759000.0,Gdynia ,Chwarzno-Wiczlino, 3,55.57,Wtórny,2017,1.0,3.0,Nie,Najmu,13658.45
799000.0,Gdynia ,Śródmieście, 3,52.4,Wtórny,1956,3.0,5.0,Tak,Najmu,15248.09
951836.0,Gdynia ,Śródmieście, 2,54.94,Pierwotny,2023,3.0,6.0,Nie,Najmu,17325.01
1175000.0,Gdynia ,Redłowo, 2,66.8,Wtórny,2011,1,2.0,Tak,Najmu,17589.82
1188096.0,Gdynia ,Śródmieście, 4,87.04,Pierwotny,2023,2.0,7.0,Tak,Najmu,13650.0
1299000.0,Gdynia ,Śródmieście, 2,55.32,Wtórny,2015,2.0,7.0,Tak,Najmu,23481.56
1320000.0,Gdynia ,Mały Kack, 3,92.84,Wtórny,2013,1,6.0,Nie,Najmu,14218.01
1380000.0,Gdynia ,Śródmieście, 2,50.0,Wtórny,2023,1.0,17.0,Nie,Najmu,27600.0
1475000.0,Gdynia ,Śródmieście, 4,105.3,Wtórny,2001,2.0,5.0,Tak,Najmu,14007.6
1755000.0,Gdynia ,Wzgórze Świętego Maksymiliana, 4,90.61,Wtórny,2021,1.0,16.0,Tak,Najmu,19368.72
1850000.0,Gdynia ,Wzgórze Świętego Maksymiliana, 4,103.41,Wtórny,2008,1.0,2.0,Tak,Najmu,17889.95
2275000.0,Gdynia,Śródmieście, 3,76.0,Wtórny,2009,1.0,28.0,Tak,Najmu,29934.21
459000.0,Gdynia ,Redłowo, 2,41.5,Wtórny,1980,4.0,10.0,Tak,Najmu,11060.24
479000.0,Gdynia ,Leszczynki, 3,45.64,Wtórny,1976,9.0,10.0,Tak,Najmu,10495.18
487000.0,Gdynia ,Chylonia, 2,45.0,Wtórny,1977,3.0,4.0,Tak,Najmu,10822.22
495540.0,Gdynia ,Cisowa, 2,40.18,Pierwotny,2025,1,4.0,Nie,Najmu,12333.0
498250.0,Gdynia ,Cisowa, 2,40.73,Pierwotny,2025,1,4.0,Nie,Najmu,12233.0
501380.0,Gdynia ,Cisowa, 2,47.3,Pierwotny,2025,1,4.0,Nie,Najmu,10600.0
503510.0,Gdynia ,Cisowa, 2,41.16,Pierwotny,2025,1,4.0,Nie,Najmu,12232.99
504460.0,Gdynia ,Cisowa, 2,45.86,Pierwotny,2025,1,4.0,Nie,Najmu,11000.0
510496.0,Gdynia ,Cisowa, 2,48.16,Pierwotny,2025,1,4.0,Nie,Najmu,10600.0
521672.0,Gdynia ,Cisowa, 2,47.3,Pierwotny,2025,1,4.0,Nie,Najmu,11029.01
