Nazwa|Cena|Miasto|Dzielnica|Pokoje|Stan nieruchomości|Pow. całkowita|Wysokość wnętrza|Piętro|Liczba pięter|Liczba sypialni|Typ kuchni|łazienka razem z WC|Balkon|Stolarka okienna|Depozyt za wynajem|Dodatkowe koszty|Rynek|Forma własności|Rodzaj umowy|Typ budynku|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Liczba łazienek|Pow. balkonu|Taras|Pow. loggii|Rok budowy|Stan budynku|Ogrzewanie|Dostępne od|Materiał budowlany|Liczba poziomów mieszkania|Pow. łazienki|Pow. tarasu|Pow. ogródka|Pow. użytkowa|Cena do negocjacji
Apartament! Od zaraz! Zwierzęta akceptowalne|3 300 zł|Gdańsk, |Śródmieście, | • 2 pokoje||45,53 m²||1/5|5|1|||Tak||||Wtórny|||Apartamentowiec|26.01.2024|28.03.2024|morizon-PAN280184|233|0|||Tak||2018||Co Miejskie||Konstrukcja żelbetowa||||||
Apartament 2-pokojowy w bliskości Starego Miasta|4 000 zł|Gdańsk M., |Gdańsk, | • 2 pokoje|Do wprowadzenia|52 m²||2/6|6|1|Aneks kuchenny|Tak|Tak|||700|Wtórny|||Apartamentowiec|06.03.2024|06.03.2024|morizon-BHN-MW-4106|178|0|||||2020||||||||||
Komfortowe Czteropokojowe mieszkanie Matarnia|4 200 zł|Gdańsk, |Matarnia, | • 4 pokoje||64,60 m²||2/3|3|3|||||||Wtórny||Na wyłączność|Blok Mieszkalny|11.02.2024|12.02.2024|morizon-DH384904|216|0|||||||Co Miejskie|12.02.2024||1|||||
3 pokoje po remoncie Gd. Przymorze|4 800 zł|Gdańsk, |Przymorze, | • 3 pokoje||89 m²|||1|2|||Tak||||Wtórny|||Dom Wielorodzinny|15.03.2024|05.04.2024|morizon-DJ927541|140|0|||||||Pompa Ciepła|15.03.2024||1|||||
Mieszkanie - Gdańsk Żabianka|2 000 zł|Gdańsk, |Żabianka, | • 1 pokój||30 m²|||10||Osobna||Nie||||Wtórny|Własność|Na wyłączność||26.03.2024|12.04.2024|morizon-JU05064|133|0|1||Nie||||C.o. miejskie||||||||
Kawalerka 29 m2 na Przymorzu|2 200 zł|Gdańsk, |Przymorze, | • 1 pokój||29 m²||1/4|4||||Tak||||Wtórny|||Blok Mieszkalny|09.04.2024|16.04.2024|morizon-DJ280064|105|0|||||||Co Miejskie|24.04.2023||1|||||
Posiadamy do wynajęcia zupełnie nowe mieszkanie o|2 400 zł|Gdańsk, |Jasień, | • 2 pokoje||44 m²||3/4|4||Brak||Tak||||Wtórny|Własność|Na wyłączność||03.04.2024|04.04.2024|morizon-JJ02339|173|0|1||Nie||2019|Wysoki standard|C.o. miejskie||||||||
Apartament na osiedlu Aura - na Wyspie Spichrzów|3 000 zł|Gdańsk, |Stare Przedmieście, | • 2 pokoje||43,20 m²||5/7|7|1|||Tak||||Wtórny||Na wyłączność|Apartamentowiec|05.04.2024|17.04.2024|morizon-NIK697413|145|0|||||2012||Co Miejskie|06.05.2024|||||||
Old Nova - historyczne centrum Gdańska|3 300 zł|Gdańsk, |Panieńska| • 2 pokoje||47 m²||2/4|4|1|||Tak||||Wtórny||Na wyłączność|Apartamentowiec|18.08.2023|01.04.2024|morizon-EC187162|325|0|||||2018||Co Miejskie|18.08.2023|||||||
Centrum, środkowa kondygnacja - osobne mieszkanie|3 500 zł|Gdańsk, |Chełm, | • 4 pokoje|DOBRY|67,96 m²|280 cm|1/2|2||Z OKNEM||||||Wtórny|WŁASNOŚĆ|Na wyłączność|DOM|07.02.2024|22.03.2024|morizon-48422/2089/OMW|283|0|1||||||INNE|08.02.2024|CEGŁA||||||
Mieszkanie dla rodziny z widokiem na morze|6 700 zł|Gdańsk, |Żabianka, | • 4 pokoje|Wysoki standard|77 m²||7/10|10|||Tak|Tak||||Wtórny|||Blok|12.03.2024|19.04.2024|morizon-gratka-33716323|380|0|||||2011|||01.09.2024|Beton||||||
Wynajem/ Kawalerka/ Brzeźno|2 100 zł|Gdańsk, |Brzeźno, | • 1 pokój||27 m²||2/4|4|1|||Tak||||Wtórny|||Blok Mieszkalny|21.04.2024|21.04.2024|morizon-919668|1|0|||||1970||Co Miejskie|21.04.2024||1|||||
Nowoczesna Kawalerka z miejscem postojowym|2 100 zł|Gdańsk, |Jasień, | • 1 pokój||30 m²||1/4|4||||Tak||||Wtórny|||Blok Mieszkalny|28.12.2023|21.04.2024|morizon-DJ208330|226|0|||||2019||Co Miejskie|14.04.2024|YTong|1|||||
Przestronne mieszkanie z dużym ogrodem i parknig|2 150 zł|Gdańsk, |Kokoszki, | • 1 pokój|WYSOKI STANDARD|36,18 m²|270 cm||4||Z OKNEM||||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|30.01.2024|31.01.2024|morizon-48443/2089/OMW|224|0|||||2021||||PUSTAK||||||
2 pokoje w dobrze skomunikowanej lokalizacji|2 300 zł|Gdańsk, |Orunia Górna, | • 2 pokoje||38,30 m²|||4||||Tak||||Wtórny||Na wyłączność||19.12.2023|16.04.2024|morizon-AG538484857|227|0|||||2011||||||||||
Front Park, Sadowa 25 , Gdańsk, 2 pokojowy|3 300 zł|Gdańsk|| • 2 pokoje||45 m²|||3||Aneks|Tak|||||Wtórny||||18.03.2024|10.04.2024|morizon-281|168|0|1||Tak|||||18.03.2024|||||||
Gdańsk Oliwa Kilarskich 2 pok ogrodek miejsce garazowe komorka|3 500 zł|Gdańsk, |Oliwa, | • 2 pokoje||37 m²||||||Tak|Tak||||Wtórny|||Apartamentowiec|24.03.2024|28.03.2024|morizon-gratka-33943385|278|0|||||||||||||||
Mieszkanie na wynajem z widokiem na Motławę|3 500 zł|Gdańsk, |Śródmieście, | • 2 pokoje||51 m²||2/4|4||||||||Wtórny|||Apartamentowiec|15.09.2023|16.04.2024|morizon-DH406037|187|0|||||2007||Co Miejskie|01.09.2023|||||||
Mieszkanie na wynajem, Gdańsk Śródmieście|6 200 zł|Gdańsk, |Śródmieście, | • 4 pokoje|Wysoki standard|86,17 m²|270 cm|2/4|4||||Tak||||Wtórny|Własność|Na wyłączność|Apartamentowiec|09.02.2024|11.03.2024|morizon-KAJA413|216|0|||||2019||Ogrzewanie miejskie||Mieszana||||||
Zamknięte osiedle z szybkim dojazdem do obwodnicy|2 050 zł|Gdańsk, |Ujeścisko, | • 2 pokoje||45,90 m²||1/4|4|1|||Tak||||Wtórny||||27.02.2024|15.04.2024|morizon-AG616127|217|0||||||||||1|||||
Posiadamy do wynajęcia mieszkanie o pow. 47,00 m2|2 300 zł|Gdańsk, |Wrzeszcz, | • 2 pokoje||47 m²||2/4|4||Osobna||Nie||||Wtórny|Własność|Na wyłączność||23.03.2024|25.03.2024|morizon-JJ02548|315|0|1||Nie|||Bardzo dobry|C.o. miejskie||||||||
Kawalerka z ogrodem tuż przy lesie- wynajem na rok|2 300 zł|Gdańsk, |Wrzeszcz, | • 1 pokój||35 m²|||2||||Nie||||Wtórny|||Kamienica|29.09.2023|14.03.2024|morizon-DH754035|539|0|||Nie||||Gazowe||||||||
Mieszkanie - Gdańsk Orunia Górna|2 400 zł|Gdańsk, |Orunia Górna-Gdańsk Południe, | • 2 pokoje|Bardzo dobry|50,40 m²||2/3|3||Półotwarta|Tak|Tak||||Wtórny|Własność||Blok|09.03.2024|21.03.2024|morizon-BE0555|365|0|1||Nie|||Do zamieszkania|C.o. miejskie||||||||
Wynajmę 2 pokoje blisko morza|2 700 zł|Gdańsk, |Letnica, | • 2 pokoje||42 m²||12/17|17|1|||Tak||||Wtórny|||Apartamentowiec|04.01.2024|05.04.2024|morizon-PAN321812|300|0|||||2022||Co Miejskie|01.03.2024|Pustak|||||40 m²|
Najem / GDAŃSK / 3 pok. 2 auta  taras|2 900 zł|Gdańsk M., |Gdańsk, | • 3 pokoje|Bardzo dobry|90 m²|275 cm|1/2|2|2|Jasna z oknem||Tak|DREWNIANE NOWY TYP||947|Wtórny|Wspólnota małżeńska||Apartamentowiec|05.01.2024|05.04.2024|morizon-KNG-MW-4056|332|0||10 m²|Tak||2005||C.O. miejskie||Cegła||||||
Mieszkanie - Gdańsk Wrzeszcz|3 000 zł|Gdańsk, |Wrzeszcz, | • 2 pokoje||46 m²||3/4|4||Półotwarta||Tak||||Wtórny|Własność|Na wyłączność||13.03.2024|09.04.2024|morizon-JU05061|158|0|1||Nie||2021|Bardzo dobry|C.o. miejskie||||||||
OldNova - apartament z klasą w centrum Gdańska|3 500 zł|Gdańsk, |Panieńska| • 2 pokoje||44 m²||4/4|4|1|||Tak||||Wtórny||Na wyłączność|Apartamentowiec|04.12.2023|01.04.2024|morizon-EC615447|413|0|||||2018||Co Miejskie|01.09.2023|||||||
Opis nieruchomości|2 100 zł|Gdańsk, |Lawendowe Wzgórze| • 2 pokoje||31,10 m²||1/6|6||ANEKS KUCHENNY||Tak||||Wtórny|||NISKI BLOK|09.01.2024|20.02.2024|morizon-BON44308|268|0|||||||C.O. Z SIECI MIEJSKIEJ||||||||
Bez prowizji ! Kawalerka, Gdańsk-Ujeścisko|2 198 zł|Gdańsk, |Mariana Kołodzieja| • 1 pokój||34,80 m²|270 cm|3/3|3||ANEKS KUCHENNY||Tak||||Wtórny|||NISKI BLOK|11.12.2023|18.04.2024|morizon-58/14488/OMW|375|0|1||||2017||C.O. Z SIECI MIEJSKIEJ||PUSTAK||||||
Studio 23 m2, Gdańsk Przymorze|2 790 zł|Gdańsk M., |Gdańsk, | • 1 pokój|Bardzo dobry|23,43 m²|270 cm||7|1|Aneks kuchenny||Tak|DREWNIANE NOWY TYP|||Wtórny|||Apartamentowiec|19.03.2024|19.03.2024|morizon-BHN-MW-4141-1|155|0|1||||2021||||||||||
Centrum, Gdańsk, 2 pokoje|2 900 zł|Gdańsk, |Śródmieście, | • 2 pokoje||32 m²||1/4|4|1|||||||Wtórny|||Kamienica|10.09.2023|04.04.2024|morizon-DH397529|257|0|||||||Co Miejskie|02.09.2024|||||||
Gdańsk, Śródmieście, Kamienna Grobla|4 800 zł|Gdańsk, |Śródmieście, | • 3 pokoje|Wysoki standard|76,04 m²|270 cm|4/4|4||||Tak||||Wtórny|Własność|Na wyłączność|Apartamentowiec|27.12.2023|11.03.2024|morizon-FOKE782|197|0|||||2019||Ogrzewanie miejskie||Mieszana||||||
Wyjątkowy apartament w DEO PLAZA w sercu Gdańska|20 000 zł|Gdańsk, |Śródmieście, | • 3 pokoje||98,46 m²||6/7|7|2|||Tak||||Wtórny||Na wyłączność|Apartamentowiec|10.05.2023|26.03.2024|morizon-TC883124|484|0|||Tak||2019||Co Miejskie||Konstrukcja żelbetowa|2|||||
Mieszkanie - Gdańsk Przymorze|2 200 zł|Gdańsk, |Przymorze, | • 1 pokój||36 m²||2/3|3||Brak||Tak||||Wtórny|(Nieznany)|Na wyłączność||20.03.2024|20.03.2024|morizon-H006212|355|0|1|2 m²|Nie||2002|Bardzo dobry|C.o. miejskie||||||||
Posiadamy do wynajęcia przepięknie urządzone , now|2 500 zł|Gdański, |Gdańsk, | • 1 pokój||32 m²||2/7|7||Brak||Tak||||Wtórny|Własność|Na wyłączność||13.03.2024|13.03.2024|morizon-JJ02544|188|0|1||Nie||2023|Wysoki standard|C.o. miejskie||||||||
Piękne mieszkanie 41m2 Gdańsk Łostowice|2 500 zł|Gdańsk, |Łostowice, | • 2 pokoje||41,45 m²|||4||||||||Wtórny|||Blok Mieszkalny|11.03.2024|12.03.2024|morizon-DJ803274|169|0|||||||Co Miejskie|||1|||||
2 pokojowe mieszkanie na Dolnym Mieście|2 950 zł|Gdańsk, |Dolne Miasto, | • 2 pokoje||42 m²|||3||||||||Wtórny|||Apartamentowiec|07.04.2024|07.04.2024|morizon-gratka-34209271|135|0|||Tak||||||||||||
Wynajmę Nowe 2-pokojowe Nowe 35 m2 WE speak eng|3 450 zł|Gdańsk M., |Gdańsk, | • 2 pokoje|Do wprowadzenia|35 m²|270 cm|1/7|7||Aneks kuchenny||Tak|DREWNIANE NOWY TYP||550|Wtórny|||Apartamentowiec|19.03.2024|19.03.2024|morizon-BHN-MW-4142|155|0|1||||2021||||||||||
Doki Living kawalerka z parkingiem|3 500 zł|Gdańsk, |Śródmieście, | • 1 pokój||26 m²||6/6|6||||Tak||||Wtórny||Na wyłączność|Apartamentowiec|21.11.2023|21.11.2023|morizon-Doki Studio Superior|85|0|||||2023||Co Miejskie|08.12.2023|Konstrukcja żelbetowa||||||
Wynajmę Nowe 3-pokojowe 50,59 m2 WE speak eng|4 480 zł|Gdańsk M., |Gdańsk, | • 2 pokoje|Do wprowadzenia|50,59 m²|270 cm|5/7|7||Aneks kuchenny||Tak|DREWNIANE NOWY TYP||550|Wtórny|||Apartamentowiec|19.03.2024|19.03.2024|morizon-BHN-MW-4143|128|0|1||||2021||||||||||
Cichy 3 Pokojowy Apartament z Widokiem na Morze, Gdańsk|4 500 zł|Gdańsk, |Przymorze Małe, | • 3 pokoje|Wysoki standard|62 m²|||||Aneks|Tak|Tak||||Wtórny|||Apartamentowiec|22.09.2023|18.04.2024|morizon-gratka-31879645|1 227|0|||||2020|||01.10.2023|||||||
Gdańsk Wrzeszcz, przestronnie i dobrym stylu|4 800 zł|Gdańsk, |Wrzeszcz Górny| • 3 pokoje||98 m²||3/4|4|2|||Tak||||Wtórny||||25.03.2024|28.03.2024|morizon-985620|163|0|||||1907||||||||||
Opis nieruchomości|4 900 zł|Gdańsk, |Stare Miasto, | • 3 pokoje||60 m²||2/4|4|2|||||||Wtórny||||06.10.2023|14.12.2023|morizon-876741|210|0|||||||||||||||
Gdańsk, Śródmieście, Kamienna Grobla|5 840 zł|Gdańsk, |Śródmieście, | • 4 pokoje|Wysoki standard|77,04 m²|270 cm|2/4|4||||Tak||||Wtórny|Umowa z developerem|Na wyłączność|Apartamentowiec|27.12.2023|11.03.2024|morizon-XAXY964|176|0|||||2019||Ogrzewanie miejskie||Mieszana||||||
Kawalerka - Gdańsk Żabianka|2 100 zł|Gdańsk, |Żabianka, | • 1 pokój||29 m²||4/10|10||||Tak||||Wtórny|||Blok Mieszkalny|21.03.2024|21.03.2024|morizon-DJ509396|224|0|||||||Co Miejskie|||1|||||
2 wyposażone pokoje, słoneczne mieszkanie- tramwaj pod blokiem|2 800 zł|Gdańsk, |Siedlce| • 2 pokoje||50 m²|300 cm|8/8|8||Aneks|Tak|Nie||||Wtórny|Własność|Na wyłączność|Apartamentowiec|16.12.2023|12.03.2024|morizon-23/PB/2|208|0|1||Tak||2021|Bardzo dobry|Miejskie|30.12.2023|Cegła|1|4 m²|5 m²||49,12 m²|
Czarujące mieszkanie w sercu gdańskiego centrum|3 000 zł|Gdańsk, |Śródmieście, | • 2 pokoje||33 m²||3/4|4||||||||Wtórny||Na wyłączność||05.10.2023|22.03.2024|morizon-363434200|454|0|||||||||||||||
Mieszkanie przy plaży z balkonem i parkingiem|4 500 zł|Gdańsk, |Gdańska| • 3 pokoje||60 m²||1/4|4||||||||Wtórny||Na wyłączność||24.10.2023|22.03.2024|morizon-640491115|501|0|||||||||||||||
Kawalerka Gdańsk Żabianka|1 500 zł|Gdańsk, |Żabianka, | • 1 pokój||23 m²||3/4|4||||||||Wtórny||||07.03.2024|16.04.2024|morizon-537061|384|0|||||||||||||||
MIESZKANIE 40m, dwa pokoje, WISZACE OGRODY|2 200 zł|Gdańsk, |Kiełpinek, | • 2 pokoje||40 m²||2/4|4||Aneks|Tak|Tak||||Wtórny|||Blok|22.04.2024|22.04.2024|morizon-gratka-34358683|1|0|||||2008|||01.05.2024|Cegła||||||
Bezpośrednio, mieszkanie 1 pok. na Zaspie z ogródkiem. Umeblowane i wyposażone|2 322 zł|Gdańsk, |Zaspa, | • 1 pokój||19,50 m²|||4||Aneks|Tak|Nie||||Pierwotny|Własność||Blok|10.02.2022|10.04.2024|morizon-2|2 176|0|1||||2022|Po remoncie||01.10.2023|Inna|1|||||
Mieszkanie do wynajęcia|2 500 zł|Gdańsk, |Ujeścisko, | • 2 pokoje||45 m²||1/3|3||||Tak||||Wtórny|||Blok|07.04.2024|07.04.2024|morizon-gratka-34209631|137|0|||||||||||||||
Duże 2 pokojowe z oddzielną kuchnią, widok na las|2 600 zł|Gdańsk, |Niedźwiednik, | • 2 pokoje|WYSOKI STANDARD|61 m²||5/9|9||ODDZIELNA||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|WIEŻOWIEC|03.01.2024|08.01.2024|morizon-48304/2089/OMW|188|0|1||||||C.O. Z SIECI MIEJSKIEJ||||||||
Posiadamy do wynajęcia atrakcyjne mieszkanie o pow|2 800 zł|Gdański, |Gdańsk, | • 3 pokoje||71 m²||1/2|2||Brak||Tak||||Wtórny|Własność|||19.11.2023|11.04.2024|morizon-JJ02525|677|0|1||Nie|||Bardzo dobry|C.o. miejskie||||||||
Przytulny apartament z balkonem|3 000 zł|Gdańsk, |Krynicka| • 2 pokoje||39,40 m²||4/12|12|1|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|03.01.2024|01.04.2024|morizon-EC315601|428|0|||||2017||Co Miejskie|03.01.2024|||||||
SCALA apartament 4 pokoje Gdańsk Centrum|9 500 zł|Gdańsk M., |Gdańsk, | • 4 pokoje|Wysoki standard|96,51 m²||5/5|5||||Tak||||Wtórny|||Apartamentowiec|19.12.2023|18.04.2024|morizon-BHN-MW-4171-5|166|0|||||||||||||||
Mieszkanie 2 pokojowe na wynajem - Gdańsk Przymorze|2 500 zł|Gdańsk, |Przymorze, | • 2 pokoje|Dobry|45 m²||1/4|4||Osobna|Tak|Tak||||Wtórny|||Blok|23.02.2024|25.03.2024|morizon-gratka-33451029|528|0|||||||||||||||
Kawalerka w Czterech Oceanach|2 900 zł|Gdańsk, |Przymorze, | • 1 pokój||36 m²||15/17|17||||Tak||||Wtórny|||Apartamentowiec|26.02.2024|26.02.2024|morizon-PAN617950|248|0|||||2019||Co Miejskie|01.04.2024|Pustak|||||30 m²|
Mieszkanie 2 pokojowe z ogródkiem Gdańsk Wrzeszcz|3 000 zł|Gdańsk, |Wrzeszcz, | • 2 pokoje||50 m²|||2||||||||Wtórny||||08.12.2023|07.03.2024|morizon-951803|397|0|||||||||||||||
Gdańsk Wrzeszcz ,Marii Konopnickiej - apartament|3 600 zł|Gdańsk, |Wrzeszcz, | • 2 pokoje|BARDZO WYSOKI STANDARD|57 m²|260 cm|1/4|4||ODDZIELNA||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|APARTAMENTOWIEC|07.03.2024|07.03.2024|morizon-95/5569/OMW|189|0|1||||2020||C.O. Z SIECI MIEJSKIEJ|01.04.2024|PUSTAK||||||
Posiadamy do wynajęcia trzy pokojowy apartament, w|3 600 zł|Gdański, |Gdańsk, | • 3 pokoje||60 m²||4/6|6||Brak||Tak||||Wtórny|Własność|Na wyłączność||13.01.2024|15.03.2024|morizon-JJ02080|187|0|1||Nie||2017|Wysoki standard|C.o. miejskie||||||||
Wynajmę 2-pok umeblowane, bez prowizji. Zieleń za oknem. Balkon|3 639 zł|Gdańsk, |Zaspa, | • 2 pokoje||39,86 m²||4/4|4||Aneks|Tak|Tak||||Wtórny|Własność||Blok|16.02.2022|06.04.2024|morizon-2-11|5 702|0|1||||2022|Po remoncie||01.10.2023|Inna|1|3,90 m²||||
"Nowe wykończone 3 pokoje | Perspektywa Eurostyl"|4 300 zł|Gdańsk, |Siedlce, | • 3 pokoje||63 m²||2/4|4|2|||Tak||||Wtórny||Na wyłączność|Apartamentowiec|08.09.2023|15.03.2024|morizon-TC603800|414|0|||||2022||Co Miejskie|05.09.2023|Konstrukcja mieszana||||||
3pokojowe mieszkanie w Śródmieściu Gdańska|4 450 zł|Gdańsk M., |Gdańsk, | • 3 pokoje||64 m²||||2||||||960|Wtórny||||01.03.2024|01.03.2024|morizon-BHN-MW-4091-1|137|0|||||||||||||||
Mieszkanie 4 pokojowe. Bezpośrednio. Zaspa. Wyposażone i umeblowane|4 654 zł|Gdańsk, |Zaspa, | • 4 pokoje||54,56 m²||2/4|4||Aneks|Tak|Nie||||Wtórny|Własność||Blok|12.02.2022|06.04.2024|morizon-2-5|1 884|0|1||||2022|Bardzo dobry||01.10.2023|Inna|1|3,90 m²||||
Mieszkanie - Gdańsk Jelitkowo|250 zł|Gdańsk, |Jelitkowo, | • 2 pokoje||41,02 m²||3/3|3||Półotwarta||Nie||||Wtórny|Własność|Na wyłączność||05.10.2018|26.07.2023|morizon-IT0918|2 111|0|1||Tak||2018|Wysoki standard|C.o. miejskie||||||||
Gdańsk, Sienna Grobla, studio|2 500 zł|Gdańsk, |Sienna Grobla, | • 1 pokój||28 m²||1/4|4|||Tak|Tak||500||Wtórny||Na wyłączność||18.03.2024|10.04.2024|morizon-280|169|0|1|||||||18.03.2024|||||||
Nowe dwupokojowe mieszkanie - Lawendowe Wzgórze|2 800 zł|Gdańsk M., |Gdańsk, | • 2 pokoje|Do wprowadzenia|42 m²||||1|Aneks kuchenny - połączony z salonem|Tak|Tak|PCV|4000||Wtórny|||Budynek wielorodzinny|11.03.2024|11.03.2024|morizon-BHN-MW-4128|115|0|||||||||||||||
Po generalnym remocie, blisko morza i komunikacji|2 990 zł|Gdańsk, |Brzeźno, | • 2 pokoje||46,13 m²||4/4|4|1|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|21.11.2023|29.03.2024|morizon-618703|199|0|||||1980||Co Miejskie||Wielka płyta|||||46,14 m²|
NOWOCZESNE MIESZKANIE 2-POKOJE/ NOWA LETNICA|3 500 zł|Gdańsk M., |Gdańsk, | • 2 pokoje|Do wprowadzenia|51 m²||11/17|17|1|||Tak|||670|Wtórny|||Apartamentowiec|11.01.2024|05.04.2024|morizon-BHN-MW-4159-1|58|0|||||2021||||||||||
4 pokojowy apartament w sercu Gdańska|12 500 zł|Gdańsk M., |Gdańsk, | • 4 pokoje|Bardzo dobry|117,37 m²||5/5|5|3|Oddzielna i widna|Tak|||||Wtórny|||Blok|15.02.2024|15.02.2024|morizon-BHN-MW-3755|149|0|1|14,50 m²|Tak||2019||C.O. miejskie||||5,84 m²||||
Bezpośrednio wynajmę 1 pokojowe z widokiem na zieleń. Umeblowane, z nowym AGD|2 322 zł|Gdańsk, |Zaspa, | • 1 pokój||19,50 m²|||4||Aneks|Tak|Nie||||Wtórny|Własność|Na wyłączność|Blok|16.02.2022|06.04.2024|morizon-2-10|2 863|0|1||||2022|Po remoncie|Miejskie|01.10.2023|Inna|1|3,90 m²||19 m²||
Idealne dla studentów i pracowników GUMed i UCK|2 500 zł|Gdańsk, |Aniołki| • 3 pokoje||43 m²||1/2|2||||||||Wtórny||||25.03.2024|02.04.2024|morizon-510809|231|0|||||||||||||||
Spokojne mieszkanie w nadmorskiej okolicy|2 800 zł|Gdańsk, |Obrońców Wybrzeża| • 2 pokoje||44 m²||7/8|8||||||||Wtórny||Na wyłączność||11.10.2023|03.04.2024|morizon-400794014|187|0|||||||||||||||
Piękne mieszkanie z dwoma łazienkami -Śródmieście|5 900 zł|Gdańsk, |Śródmieście, | • 4 pokoje||69,44 m²||3/4|4||||||||Wtórny|||Apartamentowiec|10.09.2023|01.11.2023|morizon-670874|212|0|||||2018||Co Miejskie||||||||
Mieszkanie - Gdańsk Przymorze|400 zł|Gdańsk, |Przymorze, | • 2 pokoje||45 m²||2/4|4||Półotwarta||Nie||||Wtórny|Własność|Na wyłączność||18.01.2024|17.01.2024|morizon-IT01205|554|0|1||Tak||2019|Wysoki standard|C.o. miejskie||||||||
2 pokoje z miejscem parkingowym! Dostępne od zaraz|2 550 zł|Gdańsk, |Jasień, | • 2 pokoje||45,98 m²||4/5|5||||Tak||||Wtórny|||Blok Mieszkalny|28.10.2023|21.02.2024|morizon-PAN199753|405|0|||Nie||2017||Co Miejskie|28.10.2023|Konstrukcja mieszana||||||
Nowa kawalerka tuż przy pętli. ul. Łódzka|3 000 zł|Gdańsk, |Ujeścisko, | • 1 pokój||31 m²||1/4|4||||||||Wtórny||Na wyłączność||28.02.2024|28.02.2024|morizon-HEX514814|105|0|||||2020||||||||||
Posiadamy do wynajęcia 4 pokojowe mieszkanie na tr|3 200 zł|Gdańsk, |Ujeścisko, | • 4 pokoje||76 m²||3/3|3||Osobna|Nie|Tak||||Wtórny|Własność|Na wyłączność||04.03.2024|23.03.2024|morizon-JJ02431|285|0|1||Nie||2013|Bardzo dobry|C.o. miejskie||||||||
4 pokojowe mieszkanie na Osowej|3 800 zł|Gdańsk, |Osowa, | • 4 pokoje||89 m²|||1||||||||Wtórny|||Szeregowy|09.01.2024|10.04.2024|morizon-DH807628|152|0|||||||Gazowe|01.02.2024|||||||
Przestronne mieszkanie w centrum Gdańska|2 500 zł|Gdańsk, |Śródmieście, | • 2 pokoje||42 m²||2/3|3||||||||Wtórny|||Kamienica|14.11.2023|22.04.2024|morizon-R-488010|237|0|||||1956|||14.11.2023||1|||||
Mieszkanie 2 pokojowe na wynajem po generalnym remoncie - Gdańsk Przymorze|2 900 zł|Gdańsk, |Przymorze, | • 2 pokoje||45 m²||1/4|4||Osobna|Tak|||||Wtórny|||Blok|23.02.2024|01.04.2024|morizon-gratka-33450035|527|0|||||||||||||||
Nowa kawalerka tuż przy pętli. ul. Łódzka|3 000 zł|Gdańsk, |Ujeścisko, | • 1 pokój||31 m²||2/4|4||||||||Wtórny||Na wyłączność||28.02.2024|28.02.2024|morizon-HEX675366|114|0|||||2020||||||||||
Mieszkanie - Gdańsk Suchanino|1 900 zł|Gdański, |Gdańsk, | • 3 pokoje||58 m²||4/4|4||Osobna|Nie|Tak||||Wtórny|Własność|||14.03.2024|14.03.2024|morizon-JJ02546|316|0|1||Nie|||Dobry|C.o. miejskie||||||||
Mieszkanie dwupokojowe, nowe, nie używane, na południu Gdańska|2 350 zł|Gdańsk, |Pastelowa| • 2 pokoje|Bardzo dobry|37 m²|224 cm|2/4|4||Aneks|Tak|Tak||||Wtórny|Własność||Blok|15.03.2024|28.03.2024|morizon-56|83|0|1|5 m²|Nie||2024|Bardzo dobry||15.03.2024|Bloczki|1|||||
Mieszkanie 44m2 2 pokoje Gdańsk Morena|3 300 zł|Gdańsk, |Morena, | • 2 pokoje||42 m²||2/8|8|1|||Tak||||Wtórny|||Blok Mieszkalny|12.01.2024|15.04.2024|morizon-DJ551847|73|0|||||||Co Miejskie|||1|||||
2 POKOJOWE MIESZKANIE RAJSKA 8|2 600 zł|Gdańsk M., |Gdańsk, | • 2 pokoje|Bardzo dobry|34,86 m²||4/5|5|1|Jasna z oknem||||||Wtórny||||31.01.2024|08.04.2024|morizon-BHN-MW-4015-2|257|0|||||2018||||||||||
Luksusowa Kawalerka nad Motławą|3 100 zł|Gdańsk, |Śródmieście, | • 1 pokój||35 m²||3/4|4|1|||Tak||||Wtórny||Na wyłączność||13.12.2023|19.03.2024|morizon-315448|150|0|||||2022||||||||||
Luksusowe 2 pokoje garaż siłownia nad Motławą|3 400 zł|Gdańsk, |Śródmieście, | • 2 pokoje|BARDZO WYSOKI STANDARD|40 m²||4/6|6||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|APARTAMENTOWIEC|03.10.2023|09.02.2024|morizon-47740/2089/OMW|197|0|1||||2021||C.O. Z SIECI MIEJSKIEJ|03.10.2023|||||||
elegancki apartament 2 pokojowy w centrum Gdańska|3 900 zł|Gdańsk, |Śródmieście, | • 2 pokoje||55 m²||5/5|5||||||||Wtórny||||03.03.2024|13.04.2024|morizon-1538393601|374|0||||||||Od zaraz|||||||
Eleganckie mieszkanie Szafarnia 11 Gdańsk|5 500 zł|Gdańsk, |Szafarnia| • 3 pokoje||70 m²||4/7|7||||||||Wtórny||Na wyłączność||26.10.2023|22.03.2024|morizon-477442383|167|0|||||||||||||||
